num_points,std,avg_median_dev,width,linearity,circularity,radius,boundary_length,boundary_regularity,mean_curvature,ang_diff,iav,std_iav,distance,dist_num_points,occluded_right,occluded_left,label
3,0.0298505,0.0201786,0.0585521,0.000663357,4.00108e-10,0,0.0605357,0.0186609,5.71799,1.22258,0.871817,1.51003,2.46,0.82,1,1,1
4,0.0249549,0.0196489,0.0572955,0.000982622,0.000329295,0,0.058911,0.00988865,12.0631,1.57516,1.56425,1.81866,2.15498,0.538745,1,1,1
4,0.0277954,0.0215305,0.0645896,0.00126491,1.23102e-13,0,0.064592,0.0107655,0.246651,1.5761,1.56284,1.80461,2.18498,0.546245,1,1,1
6,0.0381653,0.0326419,0.0977306,inf,0.00105656,0,0.124783,0.0119616,22.7557,2.02125,2.11703,1.70929,2.24359,0.373932,1,1,1
11,0.114675,0.1025,0.227626,0.107577,0.00674551,0,0.50418,0.037598,11.7393,2.44529,2.81492,1.91327,2.23206,0.202915,1,0,1
11,0.119027,0.101662,0.24869,0.113911,0.00186613,0,0.52916,0.0547027,10.48,2.41551,2.91441,1.88385,2.20124,0.200113,1,0,1
11,0.117703,0.0998752,0.24869,0.11013,0.00198917,0,0.498073,0.0547685,12.7371,2.41551,3.01298,1.92056,2.20734,0.200667,1,0,1
12,0.107508,0.0917923,0.250305,0.0983519,0.00424269,0,0.494972,0.0329504,12.201,2.45063,3.49829,1.87386,2.18469,0.182058,1,0,1
10,0.10797,0.0880585,0.245937,0.0941269,0.00127081,0,0.442561,0.0515361,15.0377,2.37435,3.10612,1.90738,2.19197,0.219197,1,0,1
10,0.0946763,0.0750284,0.267116,4.07733,0.000829399,0,0.308637,0.0184264,10.9417,2.3083,3.24335,1.75808,2.03172,0.203172,0,1,1
9,0.0949222,0.0774849,0.231126,0.0869065,0.00269372,0,0.298145,0.02489,12.1565,2.34507,3.21166,1.9313,2.1651,0.240567,1,0,1
8,0.0482768,0.0424602,0.125632,inf,0.0020455,0,0.150728,0.011805,14.1855,2.29562,2.53438,1.66609,1.94333,0.242916,0,1,1
9,0.106277,0.087523,0.254195,0.0612973,0.00346112,0,0.322021,0.0331791,9.72578,2.27306,3.27312,1.9626,2.15705,0.239672,1,0,1
7,0.0437653,0.0358336,0.117504,0.00784228,0.00018252,0,0.127038,0.0100209,16.5713,2.17449,2.17436,1.52262,1.9338,0.276258,1,1,1
7,0.0427905,0.0343044,0.112743,0.0099767,0.000246553,0,0.141787,0.010747,17.3465,2.03483,2.87786,1.9848,2.12,0.302857,1,1,1
